"date","fremont_bridge_nb","fremont_bridge_sb"
"2017-01-26T23:00:00.000","4","9"
"2017-01-06T02:00:00.000","0","0"
"2017-01-23T04:00:00.000","1","2"
"2017-01-12T22:00:00.000","17","13"
"2017-01-27T00:00:00.000","1","5"
"2017-01-25T03:00:00.000","0","0"
"2017-01-21T08:00:00.000","30","34"
"2017-01-01T11:00:00.000","9","12"
"2017-01-30T20:00:00.000","19","36"
"2017-01-04T16:00:00.000","54","101"
"2012-10-13T17:00:00.000","25","25"
"2017-01-20T18:00:00.000","59","137"
"2017-01-05T02:00:00.000","0","1"
"2017-01-06T15:00:00.000","30","52"
"2017-01-07T04:00:00.000","0","0"
"2017-01-02T17:00:00.000","19","26"
"2017-01-12T13:00:00.000","27","20"
"2012-10-14T00:00:00.000","3","3"
"2017-01-10T06:00:00.000","53","32"
"2012-10-14T02:00:00.000","4","4"
"2017-01-20T11:00:00.000","33","19"
"2017-01-29T00:00:00.000","6","11"
"2017-01-13T19:00:00.000","24","40"
"2017-01-18T14:00:00.000","13","11"
"2017-01-30T18:00:00.000","74","228"
"2017-01-22T12:00:00.000","13","15"
"2017-01-10T22:00:00.000","4","9"
"2017-01-31T12:00:00.000","29","18"
"2017-01-31T14:00:00.000","18","26"
"2017-01-06T21:00:00.000","9","4"
"2017-01-31T08:00:00.000","237","168"
"2017-01-08T21:00:00.000","5","2"
"2017-01-29T10:00:00.000","23","37"
"2017-01-02T20:00:00.000","6","6"
"2017-01-22T16:00:00.000","32","20"
"2017-01-10T03:00:00.000","0","0"
"2017-01-21T14:00:00.000","59","128"
"2017-01-26T09:00:00.000","118","87"
"2017-01-24T20:00:00.000","18","44"
"2017-01-01T22:00:00.000","2","4"
"2017-01-07T15:00:00.000","25","30"
"2017-01-26T18:00:00.000","89","184"
"2017-01-29T07:00:00.000","5","7"
"2017-01-16T06:00:00.000","21","23"
"2017-01-24T12:00:00.000","28","20"
"2017-01-01T19:00:00.000","1","2"
"2017-01-07T03:00:00.000","0","0"
"2017-01-17T17:00:00.000","59","217"
"2017-01-18T07:00:00.000","104","64"
"2017-01-25T07:00:00.000","163","82"
"2017-01-20T02:00:00.000","0","0"
"2017-01-12T10:00:00.000","39","28"
"2017-01-03T06:00:00.000","46","29"
"2017-01-15T10:00:00.000","24","15"
"2017-01-20T14:00:00.000","23","42"
"2017-01-07T19:00:00.000","6","8"
"2017-01-18T23:00:00.000","6","3"
"2017-01-29T17:00:00.000","32","30"
"2017-01-14T13:00:00.000","57","34"
"2017-01-16T09:00:00.000","53","49"
"2017-01-20T03:00:00.000","1","0"
"2017-01-17T21:00:00.000","3","9"
